Title ID HEX,Title ID DEC,Serial Number,Title Name,Publisher,Region,Rating,Version,Media Type,Init Flags,Entry Point,Cert Timestamp,MD5 Checksum
0x4541038B,1161888651,EA-907,,Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8DDE8CD) Retail,Fri Sep 23 03:21:41 2005,2DA64A90F21A33E1D0E9956B877F99C7
0x45410026,1161887782,EA-038,007": NightFire",Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F2E507) Retail,Thu Oct 24 07:19:50 2002,BCA5F7CCCD764E02DBE7E724904827BB
0x55530036,1431502902,US-054,187 Ride or Die,Ubisoft,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8F3523E) Retail,Thu Jun 23 21:14:51 2005,3765060CC9E9F2363E44D98D60F4444D
0x54540001,1414791169,TT-001,4X4 EVO 2,Take-Two Interactive Software,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8ED4E4F) Retail,Sat Oct 06 04:51:54 2001,98332FB86CE01370B242607322168672
0x56550042,1448411202,VU-066,50 Cent: Bulletproof,Vivendi Universal Games,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8FD47DF) Retail,Sat Oct 08 06:54:21 2005,11818733452E3B981E4B9C28450237AD
0x58500001,1481637889,XP-001,<«,XPEC Entertainment,(2) Japan,(0) RP - ALL,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8E01160) Retail,Sat Apr 03 08:07:07 2004,5B25B09445AC92845031981AFA455143
0x545100F5,1414594805,TQ-245,AFL Live Premiership Edition,THQ,(4) PAL,(0) RP - ALL,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8DF5C59) Retail,Thu Aug 11 18:24:32 2005,2E0B7BF0BA953A911ECB1BF092F45FAF
0x4541000D,1161887757,EA-013,Agent Under Fire ",Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FE799E) Retail,Fri Feb 22 08:02:51 2002,FF55C0B0C86FE26A20926418B97B4EE7
0x41430007,1094909959,AC-007,Aggressive Inline,Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8F34488) Retail,Tue Jul 16 07:09:38 2002,08EDD09F4834C32F99BADBFFC42A8BC7
0x41560049,1096155209,AV-073,American Wasteland,Activision,(7) PAL + Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000004) 64MB RAM limit,(0xA8DA51B9) Retail,Thu Sep 15 06:35:19 2005,7267C67190F2078DB47557DBFD32C019
0x4D530005,1297285125,MS-005,Amped,Microsoft Game Studios,(4) PAL,(0) RP - ALL,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD0C91) Retail,Fri Jan 18 23:07:21 2002,FD39E26B316F1C449686BE576B998F28
0x4D530041,1297285185,MS-065,Amped 2,Microsoft Game Studios,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8D91F32) Retail,Wed Oct 08 07:13:27 2003,C57E3D89D4821D967CEC52C71F76ED61
0x4D570005,1297547269,MW-005,Area51,Midway Games,(4) PAL,(0) RP - ALL,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8D9024A) Retail,Mon Apr 11 20:40:15 2005,22F3A0E204C8B998EF8AEFBFDE08397E
0x44430002,1145241602,DC-002,Arx Fatalis,DreamCatcher Interactive,(2147483655) DEBUG + PAL + Japan + USA / Canada,(2) M - Mature,0x00000000,(0x00000207) MEDIA_BOARD? + Any CD / DVD + XBOX DVD + HDD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0x949471EA) Debug,Tue Sep 30 03:09:46 2003,0BE432D67390007EA11F9AA661966D0F
0x54510105,1414594821,TQ-261,Avatar  The Last Airbender,THQ,(3) Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8EBA7B2) Retail,Fri Aug 04 04:19:56 2006,9B392229C9AC2E9874D7852BE49F3C21
0x45410039,1161887801,EA-057,BIONICLE®,Electronic Arts (EA),(1) USA / Canada,(4) E - Everyone,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FBF4BC) Retail,Tue Sep 23 06:24:03 2003,0BB94B80532E0603A3A5223CA8B2105F
0x4143000E,1094909966,AC-014,BMX XXX,Acclaim Entertainment,(4) PAL,(0) RP - ALL,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8ED910F) Retail,Mon Nov 11 21:16:23 2002,394C228DBB0873AB638D061A155A4A94
0x56550049,1448411209,VU-073,BPS Trophy Bass 2007,Vivendi Universal Games,(7) PAL + Japan + USA / Canada,(4) E - Everyone,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8FD6434) Retail,Fri Oct 06 03:44:48 2006,E78D0A0F05C2A930F6D915D94FC56AFA
0x4E4D0009,1313669129,NM-009,BREAKDOWN,Namco,(4) PAL,(0) RP - ALL,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8E6C0FD) Retail,Wed Apr 21 22:03:33 2004,A484BEC2B82FCB4CDB6B8E9CB08BC5ED
0x5655002A,1448411178,VU-042,Barbie(tm) Horse,Vivendi Universal Games,(3) Japan + USA / Canada,(4) E - Everyone,0x00000005,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F2F1A4) Retail,Sat Oct 04 06:47:49 2003,A0976F2BAAFD48598568771AD4F229BF
0x45410062,1161887842,EA-098,Battlefield 2 : Modern Combat,Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8FD475F) Retail,Thu Oct 06 04:23:42 2005,CF3C5506CD7F04CA3BA99D76BB340318
0x58490004,1481179140,XI-004,Black Stone,XPEC Entertainment and Idea Factory,(5) PAL + USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8EC7DF6) Retail,Sat Dec 14 07:38:11 2002,C131FF28AB2785ED436CE5C86CA1AF49
0x4D530010,1297285136,MS-016,Blood Wake,Microsoft Game Studios,(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F1B6F4) Retail,Thu Nov 29 06:08:18 2001,63877AABBA68101E122194A289A36E3F
0x56560021,1448476705,VV-033,BloodRayne,Vivendi Universal Games,(4) PAL,(0) RP - ALL,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E80998) Retail,Fri Mar 21 20:19:30 2003,7F8A95AE8384923EECFA5E805D24D770
0x56550005,1448411141,VU-005,Buffy : Chaos Bleeds,Vivendi Universal Games,(3) Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8EE2CAD) Retail,Sat Jul 12 06:11:23 2003,EEDAAB01D2BDE6102A78079D913BCFB0
0x45410012,1161887762,EA-018,Buffy: The Vampire Slayer,Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8ABC909) Retail,Tue Jul 30 09:11:43 2002,55653C59A64388CFB0539F55E2C6EDC0
0x4541005B,1161887835,EA-091,Burnout 3,Electronic Arts (EA),(4) PAL,(0) RP - ALL,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E17C6C) Retail,Thu Aug 12 18:10:21 2004,3019A18243B6C79519A504F8E2DF22A1
0x43430008,1128464392,CC-008,CAPCOM VS. SNK2 EO,Capcom,(1) USA / Canada,(3) T - Teen,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E460A0) Retail,Tue Dec 17 04:44:49 2002,610B6A32AD64943D3EECF4D609F08D8C
0x5553003F,1431502911,US-063,CSI:,Ubisoft,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x80000004) Unused high bit (8)? + 64MB RAM limit,(0xA8FD9A26) Retail,Tue Nov 23 08:42:40 2004,85DB3B13B808C6967CABA0DAD190850F
0x41560051,1096155217,AV-081,Call of Duty 2: Big Red One,Activision,(7) PAL + Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E22C68) Retail,Sat Oct 01 04:31:31 2005,96B46E06C8181E31800C97AA0C73A62F
0x4156002A,1096155178,AV-042,Call of Duty: Finest Hour,Activision,(7) PAL + Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8EF68DA) Retail,Sat Oct 30 07:35:19 2004,A6FFCB8503513094D57480362DEE49A4
0x54540010,1414791184,TT-016,Carve,Take-Two Interactive Software,(5) PAL + USA / Canada,(4) E - Everyone,0x00000003,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F8E9D0) Retail,Tue Jan 06 22:55:41 2004,7DD34B5C03B76D650102E93582F9BA9C
0x45410011,1161887761,EA-017,Cel Damage,Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8F8D7C0) Retail,Sat Sep 29 07:10:21 2001,9813417EA9B8A5B180E2D3101AC5E20D
0x4B420005,1262616581,KB-005,Chicago Enforcer,Kemco,(1) USA / Canada,(2) M - Mature,0x00000004,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000004) 64MB RAM limit,(0xA8FD648B) Retail,Thu Feb 10 07:51:24 2005,979D3B46DA4D371544192C7CA6D5F191
0x5454008A,1414791306,TT-138,Codename: Kids Next Door,Take-Two Interactive Software,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8F404DE) Retail,Thu Sep 01 05:50:13 2005,DBB5B827C6311E79EA2437EAACA27053
0x434D0010,1129119760,CM-016,Colin McRae Rally 04,Codemasters,(1) USA / Canada,(4) E - Everyone,0x00000003,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8EE60EB) Retail,Wed Jan 14 12:28:12 2004,470F59DE83E2D9EA4A6A7F48F6EE8EA3
0x4D530051,1297285201,MS-081,Conker: Live and Reloaded,Microsoft Game Studios,(1) USA / Canada,(2) M - Mature,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x80000004) Unused high bit (8)? + 64MB RAM limit,(0xA8BEA742) Retail,Wed May 04 05:35:51 2005,BEF7653560B9638667EA8F72ED63BFD4
0x4F580001,1331167233,OX-001,Conspiracy: WoMD,Oxygen Interactive,(4) PAL,(0) RP - ALL,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F131D7) Retail,Mon Jun 27 23:06:55 2005,463793689AB898508F6AF63E2617DD8F
0x544D000B,1414332427,TM-011,Corvette,TDK Mediactive,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F2CCD1) Retail,Fri Nov 07 07:59:04 2003,B611AA252534FABEE91F649F61FC8B44
0x4D530036,1297285174,MS-054,Counter-Strike,Microsoft Game Studios,(4) PAL,(0) RP - ALL,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8DC7B97) Retail,Tue Oct 28 23:10:17 2003,6E007EB9C2779A1C54CB2625AC7D7AA9
0x4D530021,1297285153,MS-033,Crimson Skies,Microsoft Game Studios,(4) PAL,(0) RP - ALL,0x00000003,(0x00000002) XBOX DVD,(0x80000005) Unused high bit (8)? + 64MB RAM limit + Mount Utility Drive,(0xA8E02B02) Retail,Tue Sep 30 05:56:37 2003,B817F6EF34EE97134BA0E08C03ACE6BD
0x4B4F0002,1263468546,KO-002,CrimsonSea,KOEI,(1) USA / Canada,(3) T - Teen,0x00000003,(0x00000002) XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8D4C44A) Retail,Thu Nov 28 08:15:04 2002,F4EA15E9AE313178A0B12BAEE44B94C7
0x4156004E,1096155214,AV-078,DOOM 3 RoE,Activision,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8C50C7A) Retail,Thu Sep 15 05:54:29 2005,908EDF4B3F50F84DB2D231D459F900A6
0x4B4E001D,1263403037,KN-029,Dancing Stage Unleashed,Konami,(4) PAL,(0) RP - ALL,0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8F5BAFA) Retail,Thu Oct 23 20:19:02 2003,AD3F6188C2B2A75D0261DFFA7A50F506
0x54510004,1414594564,TQ-004,Dark Summit,THQ,(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F43DD7) Retail,Sun Oct 28 02:49:21 2001,023CAFA4DFA946D6F5222D5A86AC91FB
0x4D53002D,1297285165,MS-045,Dead or Alive 3,Microsoft Game Studios,(4) PAL,(0) RP - ALL,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E48352) Retail,Sat Feb 16 03:44:02 2002,045481052505D9CC73F89D7D4CA41F3B
0x41560030,1096155184,AV-048,Deer Hunt 2004 Season,Activision,(1) USA / Canada,(3) T - Teen,0x00001101,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FDA368) Retail,Fri Aug 15 06:14:08 2003,80FD9168846C3FA9EE3EEE6C849C4D2C
0x4D440003,1296302083,MD-003,Dennou Taisen DroneZ (JPN),Metro3D,(7) PAL + Japan + USA / Canada,(0) RP - ALL,0x00000003,(0x400001FF) Unlock HDD + USB Dongle? + DVD_9_RW + DVD_5_RW + DVD_9_RO + DVD_5_RO + CD + Any CD / DVD + XBOX DVD + HDD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F5F7B3) Retail,Sat Mar 20 07:51:24 2004,2D5CA1A38B738F81661C5143E7C014C2
0x54510106,1414594822,TQ-262,Destroy All Humans! 2,THQ,(7) PAL + Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F3F890) Retail,Tue Sep 12 05:14:07 2006,0F2725F5E89184523F6D4A901632A0C0
0x41590004,1096351748,AY-004,Dreamfall,Aspyr Media,(3) Japan + USA / Canada,(2) M - Mature,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8F88371) Retail,Tue Mar 21 07:19:59 2006,A6C95A8D34726EA21929B51B77740ED6
0x4947007F,1229389951,IG-127,Driver : Parallel Lines,Infogrames,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000003,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8D87162) Retail,Tue Feb 21 21:03:37 2006,5ECE5783C8345248DB50BA8A658D19C9
0x45410086,1161887878,EA-134,EA SPORTS FN 3,Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8D1DFCE) Retail,Thu Feb 02 09:11:00 2006,2627BD30D8F9399526E0CD40631A86C7
0x53450023,1397030947,SE-035,ESPN NBA BASKETBALL,SEGA,(1) USA / Canada,(4) E - Everyone,0x00000002,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8D5EAAC) Retail,Sat Oct 11 06:01:57 2003,5AAC81E07686171A3054E7C31DCFBE06
0x53450022,1397030946,SE-034,ESPN NFL FOOTBALL,SEGA,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8D0A43C) Retail,Thu Aug 07 06:07:30 2003,6357B36A6BF39FA94C74B6984ECD39B9
0x53450026,1397030950,SE-038,ESPN NHL Hockey,SEGA,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD47DF) Retail,Thu Aug 21 05:48:41 2003,7B8935DD47160F37B1B10A31B859B40C
0x4D570032,1297547314,MW-050,Ed, Edd n Eddy: The MIS-EDventures,Midway Games,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8FD73E4) Retail,Sat Oct 08 06:54:11 2005,100EA634A04DC0E51BA67AA3E93FDE49
0x53570001,1398210561,SW-001,Enclave,Swing! Deutschland,(4) PAL,(0) RP - ALL,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8E280AB) Retail,Wed Jun 12 20:04:29 2002,F8CFF757EE3E992CDA1D0CFB11CA7595
0x45410079,1161887865,EA-121,FROM RUSSIA WITH LOVE (TM),Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8CDDDC6) Retail,Sat Oct 08 07:39:27 2005,588CC20F2EDA2A8F0DF382B83FD42F28
0x4947007B,1229389947,IG-123,Fahrenheit,Infogrames,(4) PAL,(0) RP - ALL,0x00000003,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD7C4E) Retail,Tue Aug 23 23:28:34 2005,654C700327515B004E24B7E6078D7BA0
